Name	Age	Height	Citizenship	Position	Foot	Current club	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Goals conceded	Clean sheets	Value before	ranking	League Country	Value after
Daniel Obbekjaer	18.0	194.0	Denmark	Defender - Centre-Back	right	Odense Boldklub	23.0	16.0	1.25	1.0	1.0	1.0	1.0	3.0	2.0	0.0	0.0	0.0	1312.0	1312.0			200000.0	29.25	Denmark	150000.0
Marvin Schwäbe	25.0	190.0	Germany	Goalkeeper	right	Bröndby IF	34.0	33.0	1.85	0.0	0.0		0.0	0.0	2.0	0.0	0.0			3000.0	40.0	8.0	1000000.0	29.25	Denmark	1000000.0
Timo Horn	27.0	192.0	Germany	Goalkeeper	left	1. FC Köln	39.0	39.0	1.08	0.0	0.0		0.0	1.0	1.0	0.0	0.0			3490.0	63.0	8.0	4000000.0	74.784	Germany	4000000.0
Luca Kilian	21.0	192.0	Germany	Defender - Centre-Back	right	1.FSV Mainz 05	26.0	14.0	0.86	0.0	1.0	0.0	2.0	4.0	3.0	0.0	0.0	0.0	0.0	995.0			2000000.0	74.784	Germany	1300000.0
Julian Chabot	22.0	195.0	"Germany
  France"	Defender - Centre-Back	left	UC Sampdoria	38.0	27.0	0.93	1.0	1.0	0.0	6.0	5.0	10.0	1.0	0.0	0.0	1852.0	1852.0			3100000.0	70.653	Italy	3000000.0
Jonas Hector	30.0	185.0	Germany	Defender - Left-Back	left	1. FC Köln	24.0	23.0	1.09	5.0	4.0	0.0	5.0	9.0	3.0	0.0	0.0	1.0	314.0	1571.0			6000000.0	74.784	Germany	5000000.0
Jannes Horn	23.0	186.0	Germany	Defender - Left-Back	left	1. FC Köln	37.0	32.0	1.19	0.0	3.0	0.0	9.0	10.0	7.0	0.0	0.0	0.0	0.0	2003.0			1500000.0	74.784	Germany	3000000.0
Benno Schmitz	25.0	182.0	Germany	Defender - Right-Back	right	1. FC Köln	31.0	15.0	1.53	0.0	2.0	0.0	9.0	3.0	1.0	0.0	0.0	0.0	0.0	619.0			1000000.0	74.784	Germany	800000.0
Kingsley Ehizibue	25.0	189.0	"Nigeria
  Netherlands"	Defender - Right-Back	right	1. FC Köln	34.0	23.0	1.0	0.0	1.0	0.0	7.0	13.0	5.0	0.0	0.0	0.0	0.0	1239.0			2500000.0	74.784	Germany	1700000.0
Ellyes Skhiri	25.0	185.0	"Tunisia
  France"	midfield - Defensive Midfield	right	1. FC Köln	38.0	37.0	1.03	6.0	3.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	545.0	3271.0			6500000.0	74.784	Germany	10000000.0
Dejan Ljubicic	22.0	187.0	Austria	midfield - Defensive Midfield	right	Rapid Vienna	31.0	31.0	1.84	1.0	6.0	0.0	1.0	10.0	2.0	0.0	0.0	0.0	2526.0	2526.0			3000000.0	32.925	Austria	3000000.0
Salih Özcan	23.0	182.0	"Turkey
  Germany"	midfield - Central Midfield	right	1. FC Köln	39.0	32.0	1.09	1.0	2.0	0.0	14.0	11.0	3.0	0.0	0.0	0.0	1652.0	1652.0			2700000.0	74.784	Germany	3500000.0
Ondrej Duda 	25.0	181.0	Slovakia	midfield - Attacking Midfield	right	1. FC Köln	37.0	37.0	1.05	7.0	8.0	0.0	1.0	20.0	6.0	1.0	0.0	3.0	408.0	2853.0			7000000.0	74.784	Germany	8000000.0
Louis Schaub	25.0	177.0	Austria	midfield - Attacking Midfield	left	1. FC Köln	36.0	36.0	1.47	9.0	11.0	0.0	1.0	24.0	4.0	0.0	0.0	1.0	307.0	2763.0			2000000.0	74.784	Germany	2000000.0
Tomas Ostrak	20.0	176.0	Czech Republic	midfield - Attacking Midfield	right	TSV Hartberg	27.0	27.0	1.19	1.0	1.0	0.0	6.0	16.0	1.0	0.0	0.0	0.0	1898.0	1898.0			200000.0	32.925	Austria	750000.0
Florian Kainz	27.0	176.0	Austria	attack - Left Winger	right	1. FC Köln	11.0	10.0	1.6	2.0	2.0	0.0	2.0	6.0	1.0	0.0	0.0	0.0	299.0	597.0			4000000.0	74.784	Germany	3500000.0
Jan Thielmann 	18.0	178.0	Germany	attack - Right Winger	right	1. FC Köln	34.0	29.0	1.24	2.0	4.0	0.0	18.0	8.0	1.0	0.0	0.0	0.0	638.0	1275.0			4000000.0	74.784	Germany	4000000.0
Mark Uth	28.0	185.0	Germany	attack - Second Striker	left	FC Schalke 04	22.0	21.0	0.48	3.0	1.0	0.0	2.0	6.0	5.0	0.0	0.0	0.0	529.0	1587.0			7500000.0	74.784	Germany	3000000.0
Anthony Modeste	32.0	187.0	"France
  Martinique"	attack - Centre-Forward	right	1. FC Köln	23.0	17.0	1.0	1.0	0.0	0.0	12.0	5.0	2.0	0.0	0.0	0.0	605.0	605.0			2800000.0	74.784	Germany	1500000.0
Sebastian Andersson 	28.0	190.0	Sweden	attack - Centre-Forward	right	1.FC Union Berlin	19.0	18.0	0.78	5.0	1.0	0.0	3.0	11.0	1.0	0.0	0.0	1.0	247.0	1235.0			7000000.0	74.784	Germany	4500000.0
Tim Lemperle	18.0	189.0	Germany	attack - Centre-Forward	right	1. FC Köln	30.0	28.0	1.61	10.0	7.0	0.0	1.0	14.0	3.0	0.0	0.0	0.0	208.0	2082.0			300000.0	74.784	Germany	300000.0
Filip Nguyen	27.0	191.0	"Czech Republic
  Vietnam"	Goalkeeper		FC Slovan Liberec	41.0	25.0	1.76	0.0	0.0		0.0	1.0	0.0	0.0	0.0			2228.0	25.0	11.0	750000.0	27.3	Czech Republic	400000.0
Stanislav Hofmann	30.0	191.0	Czech Republic	Defender - Centre-Back		1.FC Slovacko	33.0	33.0	1.82	4.0	4.0	1.0	0.0	3.0	6.0	0.0	0.0	0.0	733.0	2933.0			350000.0	27.3	Czech Republic	600000.0
Michal Kadlec	35.0	185.0	Czech Republic	Defender - Centre-Back	left	1.FC Slovacko	33.0	33.0	1.82	2.0	1.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	1482.0	2964.0			250000.0	27.3	Czech Republic	250000.0
Patrik Simko	29.0	185.0	Slovakia	Defender - Left-Back		1.FC Slovacko	34.0	27.0	2.26	0.0	1.0	1.0	14.0	4.0	3.0	0.0	0.0	0.0	0.0	1282.0			200000.0	27.3	Czech Republic	250000.0
Jan Kalabiska	33.0	188.0	Czech Republic	Defender - Left-Back	left	1.FC Slovacko	27.0	26.0	1.77	5.0	2.0	0.0	8.0	2.0	6.0	0.0	1.0	0.0	346.0	1732.0			250000.0	27.3	Czech Republic	200000.0
Josef Divisek	29.0	181.0	Czech Republic	Defender - Left-Back	left	1.FC Slovacko	21.0	15.0	1.6	0.0	0.0	0.0	7.0	5.0	6.0	0.0	0.0	0.0	0.0	763.0			250000.0	27.3	Czech Republic	200000.0
Petr Reinberk	31.0	178.0	Czech Republic	Defender - Right-Back		1.FC Slovacko	30.0	30.0	1.73	2.0	5.0	0.0	4.0	4.0	5.0	0.0	0.0	0.0	1153.0	2305.0			300000.0	27.3	Czech Republic	400000.0
Michal Tomic	21.0	182.0	Slovakia	Defender - Right-Back	right	1.FC Slovacko	16.0	14.0	1.79	0.0	1.0	0.0	9.0	2.0	1.0	0.0	0.0	0.0	0.0	620.0			300000.0	27.3	Czech Republic	250000.0
Vlastimil Danicek	28.0	187.0	Czech Republic	midfield - Defensive Midfield	left	1.FC Slovacko	27.0	27.0	1.93	9.0	1.0	0.0	2.0	1.0	4.0	0.0	1.0	8.0	248.0	2228.0			500000.0	27.3	Czech Republic	500000.0
Marek Havlik	25.0	176.0	Czech Republic	midfield - Central Midfield	left	1.FC Slovacko	33.0	33.0	1.79	3.0	6.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	988.0	2965.0			500000.0	27.3	Czech Republic	800000.0
Vladislav Levin	25.0	181.0	Russia	midfield - Central Midfield	right	Bohemians Prague 1905	34.0	29.0	1.38	2.0	0.0	0.0	1.0	4.0	5.0	0.0	0.0	0.0	1217.0	2434.0			200000.0	27.3	Czech Republic	350000.0
Michal Kohut	20.0		Czech Republic	midfield - Right Midfield	left	1.FC Slovacko	34.0	31.0	1.9	2.0	0.0	0.0	15.0	15.0	4.0	0.0	0.0	0.0	738.0	1476.0			250000.0	27.3	Czech Republic	350000.0
Milan Petrzela	37.0	172.0	Czech Republic	midfield - Right Midfield	right	1.FC Slovacko	35.0	34.0	1.76	5.0	1.0	0.0	5.0	28.0	3.0	0.0	0.0	0.0	449.0	2245.0			250000.0	27.3	Czech Republic	100000.0
Daniel Holzer	24.0	177.0	Czech Republic	midfield - Left Midfield	left	FC Banik Ostrava	32.0	30.0	1.53	1.0	2.0	0.0	9.0	15.0	1.0	0.0	0.0	0.0	1767.0	1767.0			350000.0	27.3	Czech Republic	400000.0
Lukas Sadilek	24.0	179.0	Czech Republic	midfield - Attacking Midfield		1.FC Slovacko	36.0	36.0	1.83	6.0	10.0	0.0	1.0	15.0	1.0	0.0	0.0	0.0	512.0	3072.0			300000.0	27.3	Czech Republic	1000000.0
Vaclav Jurecka	26.0	182.0	Czech Republic	attack - Centre-Forward		1.FC Slovacko	28.0	28.0	1.96	8.0	3.0	0.0	13.0	14.0	4.0	0.0	0.0	1.0	192.0	1538.0			250000.0	27.3	Czech Republic	450000.0
Ondrej Sasinka	22.0	185.0	Czech Republic	attack - Centre-Forward	left	FC Banik Ostrava	32.0	30.0	1.53	2.0	1.0	0.0	18.0	11.0	2.0	0.0	0.0	0.0	607.0	1214.0			650000.0	27.3	Czech Republic	550000.0
Frederik Rönnow	28.0	190.0	Denmark	Goalkeeper	right	FC Schalke 04	24.0	11.0	0.36	0.0	1.0		1.0	0.0	0.0	0.0	0.0			944.0	24	1	3500000.0	74.784	Germany	2500000.0
Andreas Luthe	33.0	195.0	Germany	Goalkeeper	right	1.FC Union Berlin	33.0	32.0	1.5	0.0	0.0		0.0	1.0	1.0	0.0	0.0			2889.0	42	6	900000.0	74.784	Germany	900000.0
Jakob Busk	27.0	189.0	Denmark	Goalkeeper	right	1.FC Union Berlin	3.0	0.0			0.0		0.0	0.0	0.0	0.0	0.0			0.0	0	0	300000.0	74.784	Germany	250000.0
Timo Baumgartl 	24.0	190.0	Germany	Defender - Centre-Back	right	PSV Eindhoven	36.0	14.0	2.43	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	983.0			4000000.0	35.75	Netherlands	3000000.0
Robin Knoche	28.0	190.0	Germany	Defender - Centre-Back	right	1.FC Union Berlin	36.0	36.0	1.47	1.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	3253.0	3253.0			5500000.0	74.784	Germany	7500000.0
Dominique Heintz	27.0	188.0	Germany	Defender - Centre-Back	left	SC Freiburg	35.0	23.0	1.09	0.0	0.0	0.0	7.0	2.0	3.0	0.0	0.0	0.0	0.0	1545.0			6000000.0	74.784	Germany	5000000.0
Niko Gießelmann	28.0	182.0	Germany	Defender - Left-Back	left	1.FC Union Berlin	27.0	15.0	1.2	0.0	1.0	0.0	10.0	2.0	3.0	0.0	0.0	0.0	0.0	554.0			2500000.0	74.784	Germany	1300000.0
Bastian Oczipka	31.0	185.0	Germany	Defender - Left-Back	left	FC Schalke 04	36.0	30.0	0.67	0.0	3.0	0.0	9.0	2.0	1.0	0.0	0.0	0.0	0.0	2063.0			2800000.0	74.784	Germany	600000.0
Julian Ryerson	23.0	183.0	"Norway
  United States"	Defender - Right-Back	right	1.FC Union Berlin	35.0	26.0	1.62	0.0	2.0	0.0	16.0	6.0	2.0	0.0	0.0	0.0	0.0	1076.0			800000.0	74.784	Germany	2500000.0
Christopher Trimmel	33.0	189.0	Austria	Defender - Right-Back	right	1.FC Union Berlin	34.0	33.0	1.48	1.0	10.0	0.0	1.0	9.0	10.0	0.0	0.0	0.0	2775.0	2775.0			1000000.0	74.784	Germany	1200000.0
Rani Khedira	27.0	188.0	"Germany
  Tunisia"	midfield - Defensive Midfield	right	FC Augsburg	34.0	29.0	1.24	1.0	0.0	0.0	4.0	12.0	5.0	0.0	0.0	0.0	2002.0	2002.0			6000000.0	74.784	Germany	5000000.0
Grischa Prömel	25.0	184.0	Germany	midfield - Central Midfield	right	1.FC Union Berlin	26.0	26.0	1.54	4.0	1.0	0.0	3.0	14.0	8.0	0.0	0.0	0.0	505.0	2018.0			3000000.0	74.784	Germany	4000000.0
András Schäfer	21.0	180.0	Hungary	midfield - Central Midfield	both	DAC Dunajska Streda	31.0	31.0	1.94	0.0	3.0	0.0	2.0	5.0	6.0	0.0	0.0	0.0	0.0	2605.0			400000.0	15.875	Slovakia	1500000.0
