Name	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Player agent	Current club	Joined	Contract expires	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values	Name in home country
Rói Zachariasen																												
Rasmus Jepsen-Jacob																												
Erik McCue	Jan 18, 2001	Göteborg	21	1,93 m	"United States
  Sweden"	Defender - Centre-Back	right	TJ Player Advice	AB Argir	Feb 18, 2022	-	0.0	18	15	0.93	1	1	-	7	4	2	-	-	-	853'	853'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Houston Dynamo', 'age': '18', 'mw': '€50Th.', 'datum_mw': 'Mar 20, 2019', 'x': 1553036400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9168_1605636768.png?lm=1605636769)'}}, {'y': 75000, 'verein': 'Rio Grande Valley FC Toros', 'age': '18', 'mw': '€75Th.', 'datum_mw': 'May 27, 2019', 'x': 1558908000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/51694.png?lm=1455552322)'}}, {'y': 75000, 'verein': 'Rio Grande Valley FC Toros', 'age': '18', 'mw': '€75Th.', 'datum_mw': 'Oct 3, 2019', 'x': 1570053600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/51694.png?lm=1455552322)'}}, {'y': 75000, 'verein': 'Houston Dynamo FC', 'age': '19', 'mw': '€75Th.', 'datum_mw': 'Aug 26, 2020', 'x': 1598392800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9168.png?lm=1605636557)'}}, {'y': 100000, 'verein': 'Houston Dynamo FC', 'age': '19', 'mw': '€100Th.', 'datum_mw': 'Dec 18, 2020', 'x': 1608246000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9168.png?lm=1605636557)'}}, {'y': 100000, 'verein': 'Charleston Battery', 'age': '20', 'mw': '€100Th.', 'datum_mw': 'Apr 10, 2021', 'x': 1618005600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4115.png?lm=1576323444)'}}, {'y': 125000, 'verein': 'Charleston Battery', 'age': '20', 'mw': '€125Th.', 'datum_mw': 'Nov 25, 2021', 'x': 1637794800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4115.png?lm=1576323444)'}}]}]	
Brandur Jakupsson																												
Tróndur á Høvdanum																												
Michael Smith																												
Rógvi Skala																												
Gunnar Reynslág																												
Jákup Pauli Breckmann																												
Mikkjal Hentze																												
Matthias Praest																												
Onni Tiihonen	Jun 6, 2000		22		Finland	midfield - Central Midfield	right	TJ Player Advice	AB Argir	Feb 13, 2022	Oct 31, 2022	0.0	28	28	1.39	1	-	-	7	12	7	-	-	-	1.837'	1.837'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 25000, 'verein': 'IF Gnistan', 'age': '19', 'mw': '€25Th.', 'datum_mw': 'Feb 29, 2020', 'x': 1582930800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/23564.png?lm=1549478697)'}}, {'y': 0, 'verein': 'Pallokerho Keski-Uusimaa', 'age': '20', 'mw': '-', 'datum_mw': 'Sep 26, 2020', 'x': 1601071200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/20957.png?lm=1651062234)'}}, {'y': 25000, 'verein': 'IF Gnistan', 'age': '20', 'mw': '€25Th.', 'datum_mw': 'Mar 4, 2021', 'x': 1614812400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/23564.png?lm=1549478697)'}}, {'y': 50000, 'verein': 'IF Gnistan', 'age': '21', 'mw': '€50Th.', 'datum_mw': 'Jul 26, 2021', 'x': 1627250400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/23564.png?lm=1549478697)'}}, {'y': 50000, 'verein': 'IF Gnistan', 'age': '21', 'mw': '€50Th.', 'datum_mw': 'Nov 2, 2021', 'x': 1635807600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/23564.png?lm=1549478697)'}}]}]	
Ragnar Skála																												
Bartal Petersen																												
Coby Atkinson																												
Marius Lindh																												
