Name	Name in home country	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Player agent	Current club	Joined	Contract expires	On loan from	Contract there expires	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values
Hjarnar Johansen																														
Rói Hentze																														
Ragnar Lindholm																														
Aidan Liu	Aidan Bardina Liu / 刘威登	Jul 1, 2000	Chicago, Illinois	21	1,93 m	"United States
  China"	Defender - Centre-Back	right	People In Sport	B68 Toftir	Feb 21, 2022	Oct 31, 2022	Vejle Boldklub	-	0.0	18	3	0.33	-	-	-	3	-	-	-	-	-	-	44'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 25000, 'verein': 'HB Köge U19', 'age': '18', 'mw': '€25Th.', 'datum_mw': 'Dec 21, 2018', 'x': 1545346800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/25016.png?lm=1429211362)'}}, {'y': 25000, 'verein': 'Indy Eleven', 'age': '20', 'mw': '€25Th.', 'datum_mw': 'Apr 10, 2021', 'x': 1618005600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/39148.png?lm=1412183424)'}}, {'y': 25000, 'verein': 'Indy Eleven', 'age': '21', 'mw': '€25Th.', 'datum_mw': 'Nov 25, 2021', 'x': 1637794800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/39148.png?lm=1412183424)'}}, {'y': 50000, 'verein': 'Vejle Boldklub', 'age': '21', 'mw': '€50Th.', 'datum_mw': 'Dec 28, 2021', 'x': 1640646000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/443.png?lm=1437861930)'}}]}]
Aleksandur Jensen																														
Pedro Tarancón																														
Ari Johannesen																														
Hjalti Strömsten																														
Aron Reinert Hansen																														
Tonni Thomsen																														
Jann Ingi Petersen																														
Bárdur Jensen																														
Áki Johannesen																														
Jákup Höjgaard																														
Karstin Clementsen																														
Esmar Clementsen																														
Niels Jensen																														
Hilmar á Regni Højgaard																														
Lukasz Cieslewicz	Łukasz Cieślewicz	Nov 15, 1987	Gniezno	34	1,82 m	"Faroe Islands
  Poland"	midfield - Attacking Midfield	right	FSM	B68 Toftir	Jan 10, 2021	Dec 31, 2023			0.0	27	26	0.85	7	4	1	1	5	4	-	-	5	315'	2.208'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 100000, 'verein': 'Hvidovre IF', 'age': '20', 'mw': '€100Th.', 'datum_mw': 'Oct 14, 2008', 'x': 1223935200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1894.png?lm=1458926365)'}}, {'y': 150000, 'verein': 'Hvidovre IF', 'age': '21', 'mw': '€150Th.', 'datum_mw': 'Dec 14, 2008', 'x': 1229209200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1894.png?lm=1458926365)'}}, {'y': 250000, 'verein': 'B36 Tórshavn', 'age': '23', 'mw': '€250Th.', 'datum_mw': 'Jan 1, 2011', 'x': 1293836400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10532.png?lm=1423492298)'}}, {'y': 400000, 'verein': 'B36 Tórshavn', 'age': '24', 'mw': '€400Th.', 'datum_mw': 'Dec 8, 2011', 'x': 1323298800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10532.png?lm=1423492298)'}}, {'y': 100000, 'verein': 'B36 Tórshavn', 'age': '25', 'mw': '€100Th.', 'datum_mw': 'Dec 29, 2012', 'x': 1356735600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10532.png?lm=1423492298)'}}, {'y': 100000, 'verein': 'B36 Tórshavn', 'age': '31', 'mw': '€100Th.', 'datum_mw': 'Mar 18, 2019', 'x': 1552863600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10532.png?lm=1423492298)'}}, {'y': 75000, 'verein': 'Víkingur Gøta', 'age': '33', 'mw': '€75Th.', 'datum_mw': 'Jan 9, 2021', 'x': 1610146800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/24832.png?lm=1409146975)'}}, {'y': 50000, 'verein': 'B68 Toftir', 'age': '34', 'mw': '€50Th.', 'datum_mw': 'Feb 3, 2022', 'x': 1643842800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10538.png?lm=1459074100)'}}]}]
Andri Benjaminsen																														
Boubacar Sidik Dabo																														
Gilli Samuelsen																														
Hugin Samuelsen																														
Steffan Lökin																														
Frídi Petersen																														
Sebastian Lau																														
Maha Samba																														
