Name	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Current club	Joined	Contract expires	Date of last contract extension	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values	Name in home country	Player agent
Jordan Williamson																													
Sam Johnston																													
Ciaran Gallagher																													
Conor Keeley																													
Chris Rodgers																													
Caolan Loughran																													
Craig Farquhar																													
Scott Whiteside																													
Jordan McMullan																													
Ross Redman	Nov 23, 1989	Portadown	32	1,83 m	Northern Ireland	Defender - Left-Back	left	Ballymena United	Sep 11, 2020	Jun 30, 2022	Jun 11, 2021	0.0	38	38	1.61	3	13	-	2	4	2	-	-	-	1.072'	3.217'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 75000, 'verein': 'Ballymena United', 'age': '31', 'mw': '€75Th.', 'datum_mw': 'Sep 27, 2021', 'x': 1632693600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/15244.png?lm=1621224984)'}}, {'y': 100000, 'verein': 'Ballymena United', 'age': '32', 'mw': '€100Th.', 'datum_mw': 'Jun 21, 2022', 'x': 1655762400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/15244.png?lm=1621224984)'}}]}]		
Steven McCullough																													
Sean Graham																													
Lee Chapman																													
Jack Henderson																													
Dougie Wilson																													
Leroy Millar																													
Spencer Beattie																													
Josh Kelly																													
Arynn Annett																													
Andy McGrory																													
Daniel Bramall																													
Kym Nelson																													
Paul McElroy																													
Ryan Waide																													
Kenny Kane																													
David Parkhouse																													
Jonte Smith	Jul 10, 1994	Hamilton	27	1,85 m	Bermuda	attack - Centre-Forward		Ballymena United	Sep 17, 2021	-		0.0	14	12	0.75	-	1	-	7	5	1	-	-	-	-	519'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Ballymena United', 'age': '27', 'mw': '€50Th.', 'datum_mw': 'Sep 27, 2021', 'x': 1632693600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/15244.png?lm=1621224984)'}}, {'y': 50000, 'verein': 'Ballymena United', 'age': '27', 'mw': '€50Th.', 'datum_mw': 'Jun 21, 2022', 'x': 1655762400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/15244.png?lm=1621224984)'}}]}]	Jonte Jahki Smith	SRV Sports Group
Mikey Place																													
