Name	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Current club	Joined	Contract expires	Date of last contract extension	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values	Name in home country
Luke McNicholas																												
Declan Breen																												
Ruadhan McKenna																												
Jonny Addis																												
Aaron Donnelly																												
Jamie Harney																												
Colin Coates	Oct 26, 1985	Belfast	36	1,85 m	Northern Ireland	Defender - Centre-Back	right	Cliftonville FC	Sep 2, 2021	Jun 30, 2023	May 10, 2022	0.0	26	21	1.67	3	-	-	1	4	4	-	-	-	537'	1.611'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Cliftonville FC', 'age': '35', 'mw': '€50Th.', 'datum_mw': 'Sep 27, 2021', 'x': 1632693600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1251.png?lm=1403616869)'}}, {'y': 50000, 'verein': 'Cliftonville FC', 'age': '36', 'mw': '€50Th.', 'datum_mw': 'Jun 21, 2022', 'x': 1655762400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1251.png?lm=1403616869)'}}]}]	
Ryan O'Reilly																												
Levi Ives																												
Darren Hyland																												
Conor McDermott																												
Seanna Foster	Jan 29, 1997	Belfast	25	1,70 m	Northern Ireland	Defender - Right-Back	right	Cliftonville FC	Jul 1, 2019	Jun 30, 2022	Jul 15, 2021	0.0	27	15	1.33	-	-	-	8	2	3	-	-	-	-	867'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 100000, 'verein': 'Cliftonville FC', 'age': '24', 'mw': '€100Th.', 'datum_mw': 'Sep 27, 2021', 'x': 1632693600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1251.png?lm=1403616869)'}}, {'y': 25000, 'verein': 'Cliftonville FC', 'age': '25', 'mw': '€25Th.', 'datum_mw': 'Jun 21, 2022', 'x': 1655762400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1251.png?lm=1403616869)'}}]}]	
Kris Lowe																												
Chris Curran																												
Ronan Doherty																												
Chris Gallagher																												
Rory Hale																												
Gerard Storey																												
Danny Kearns	Aug 26, 1991	Belfast	30	1,78 m	"Ireland
  Northern Ireland"	midfield - Right Midfield	both	Cliftonville FC	Jan 30, 2021	-		0.0	39	20	1.55	-	1	-	9	9	-	-	-	-	-	893'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 100000, 'verein': 'Peterborough United', 'age': '20', 'mw': '€100Th.', 'datum_mw': 'Sep 14, 2011', 'x': 1315951200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1072.png?lm=1411463544)'}}, {'y': 250000, 'verein': 'Peterborough United', 'age': '20', 'mw': '€250Th.', 'datum_mw': 'Jun 22, 2012', 'x': 1340316000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1072.png?lm=1411463544)'}}, {'y': 150000, 'verein': 'Peterborough United', 'age': '21', 'mw': '€150Th.', 'datum_mw': 'Jul 12, 2013', 'x': 1373580000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1072.png?lm=1411463544)'}}, {'y': 75000, 'verein': 'Cliftonville FC', 'age': '30', 'mw': '€75Th.', 'datum_mw': 'Sep 27, 2021', 'x': 1632693600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1251.png?lm=1403616869)'}}, {'y': 125000, 'verein': 'Cliftonville FC', 'age': '30', 'mw': '€125Th.', 'datum_mw': 'Jun 21, 2022', 'x': 1655762400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1251.png?lm=1403616869)'}}]}]	Daniel Anthony Kearns
Liam Bagnall																												
Donal Rocks																												
Paul O'Neill																												
Jamie McDonagh																												
Joe Gormley																												
Ryan Curran																												
Lee O'Brien																												
Michael McCrudden																												
