Name	Name in home country	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Current club	Joined	Contract expires	Date of last contract extension	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values
Gareth Deane																												
Marty Gallagher																												
Rodney Brown																												
Stephen O'Donnell																												
Adam Mullan																												
Gareth McConaghie																												
Aaron Traynor																												
Lyndon Kane																												
Aaron Canning																												
Jay Riley																												
Stephen Lowry																												
Patrick Kelly																												
Aaron Jarvis																												
Evan Tweed																												
Ronan Wilson																												
Ian Parkhill																												
Jamie Glackin																												
Caiolan Brennan																												
Conor McKendry																												
Josh Carson	Joshua Glyn Carson	Jun 3, 1993	Ballymena	29	1,75 m	Northern Ireland	attack - Right Winger	left	Coleraine FC	Aug 1, 2017	Jun 30, 2023	Nov 3, 2020	0.0	37	37	1.89	-	2	1	3	5	9	-	-	-	-	3.017'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 150000, 'verein': 'Ipswich Town', 'age': '18', 'mw': '€150Th.', 'datum_mw': 'Jul 15, 2011', 'x': 1310680800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/677.png?lm=1407655249)'}}, {'y': 500000, 'verein': 'Ipswich Town', 'age': '18', 'mw': '€500Th.', 'datum_mw': 'Sep 14, 2011', 'x': 1315951200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/677.png?lm=1407655249)'}}, {'y': 1000000, 'verein': 'Ipswich Town', 'age': '18', 'mw': '€1.00m', 'datum_mw': 'Feb 7, 2012', 'x': 1328569200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/677.png?lm=1407655249)'}}, {'y': 1250000, 'verein': 'Ipswich Town', 'age': '19', 'mw': '€1.25m', 'datum_mw': 'Jun 22, 2012', 'x': 1340316000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/677.png?lm=1407655249)'}}, {'y': 1000000, 'verein': 'Ipswich Town', 'age': '19', 'mw': '€1.00m', 'datum_mw': 'Mar 2, 2013', 'x': 1362178800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/677.png?lm=1407655249)'}}, {'y': 500000, 'verein': 'Ipswich Town', 'age': '20', 'mw': '€500Th.', 'datum_mw': 'Jul 12, 2013', 'x': 1373580000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/677.png?lm=1407655249)'}}, {'y': 400000, 'verein': 'Coleraine FC', 'age': '26', 'mw': '€400Th.', 'datum_mw': 'Apr 8, 2020', 'x': 1586296800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/3831.png?lm=1436043208)'}}, {'y': 125000, 'verein': 'Coleraine FC', 'age': '28', 'mw': '€125Th.', 'datum_mw': 'Sep 27, 2021', 'x': 1632693600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/3831.png?lm=1436043208)'}}, {'y': 125000, 'verein': 'Coleraine FC', 'age': '29', 'mw': '€125Th.', 'datum_mw': 'Jun 21, 2022', 'x': 1655762400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/3831.png?lm=1436043208)'}}]}]
Matthew Shevlin																												
Cathair Friel																												
Eoin Bradley																												
Curtis Allen		Feb 22, 1988	Belfast	34	1,80 m	Northern Ireland	attack - Centre-Forward	left	Coleraine FC	Aug 1, 2020	Jun 30, 2022		0.0	39	29	1.69	9	5	-	11	16	1	-	-	-	157'	1.411'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 75000, 'verein': 'Inverness Caledonian Thistle FC', 'age': '25', 'mw': '€75Th.', 'datum_mw': 'Oct 8, 2013', 'x': 1381183200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2451.png?lm=1416262902)'}}, {'y': 100000, 'verein': 'Coleraine FC', 'age': '33', 'mw': '€100Th.', 'datum_mw': 'Sep 27, 2021', 'x': 1632693600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/3831.png?lm=1436043208)'}}, {'y': 75000, 'verein': 'Coleraine FC', 'age': '34', 'mw': '€75Th.', 'datum_mw': 'Jun 21, 2022', 'x': 1655762400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/3831.png?lm=1436043208)'}}]}]
James McLaughlin																												
Alex Gawne																												
