Name	Date of birth	Place of birth	Age	Height	Citizenship	Position	Current club	Joined	Contract expires	Date of last contract extension	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Goals conceded	Clean sheets	Minutes played	Market Values	Name in home country	Foot	Own goals	Penalty goals	Minutes per goal
James Holland																														
Jonathan Tuffey																														
Sean O'Neill	Apr 11, 1988	Belfast	34	1,83 m	Northern Ireland	Goalkeeper	Crusaders FC	Jul 1, 2011	Jun 30, 2023	Mar 30, 2021	0.0	27	16	1.81	-	-	-	-	-	-	-	17	5	1.440'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Crusaders FC', 'age': '33', 'mw': '€50Th.', 'datum_mw': 'Sep 27, 2021', 'x': 1632693600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21532.png?lm=1427627419)'}}, {'y': 50000, 'verein': 'Crusaders FC', 'age': '34', 'mw': '€50Th.', 'datum_mw': 'Jun 21, 2022', 'x': 1655762400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21532.png?lm=1427627419)'}}]}]					
Neil Shields																														
Josh Robinson																														
Aidan Wilson																														
Daniel Larmour																														
Lewis Patterson																														
Jarlath O'Rourke																														
Billy Joe Burns	Apr 28, 1989	Belfast	33		Northern Ireland	Defender - Right-Back	Crusaders FC	Jul 1, 2014	Jun 30, 2023	Aug 7, 2020	0.0	27	26	1.35	-	2	-	2	3	-	1			2.315'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 75000, 'verein': 'Crusaders FC', 'age': '32', 'mw': '€75Th.', 'datum_mw': 'Sep 27, 2021', 'x': 1632693600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21532.png?lm=1427627419)'}}, {'y': 150000, 'verein': 'Crusaders FC', 'age': '33', 'mw': '€150Th.', 'datum_mw': 'Jun 21, 2022', 'x': 1655762400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21532.png?lm=1427627419)'}}]}]	William Joseph Burns	right	-	-	-
Chris Hegarty																														
Jack Patterson																														
Robbie Weir																														
Declan Caddell	Apr 13, 1988	Belfast	34	1,83 m	Northern Ireland	midfield - Central Midfield	Crusaders FC	Jul 1, 2007	Jun 30, 2023	Aug 7, 2020	0.0	38	35	1.51	3	2	9	11	7	-	-			2.254'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Crusaders FC', 'age': '33', 'mw': '€50Th.', 'datum_mw': 'Sep 27, 2021', 'x': 1632693600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21532.png?lm=1427627419)'}}, {'y': 100000, 'verein': 'Crusaders FC', 'age': '34', 'mw': '€100Th.', 'datum_mw': 'Jun 21, 2022', 'x': 1655762400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21532.png?lm=1427627419)'}}]}]		right	-	-	751'
Gary Thompson																														
Philip Lowry	Jul 15, 1989	Derry	32		Northern Ireland	midfield - Attacking Midfield	Crusaders FC	Jul 1, 2016	-		0.0	36	33	1.61	7	2	-	3	2	-	-			2.962'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Crusaders FC', 'age': '32', 'mw': '€50Th.', 'datum_mw': 'Sep 27, 2021', 'x': 1632693600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21532.png?lm=1427627419)'}}, {'y': 100000, 'verein': 'Crusaders FC', 'age': '32', 'mw': '€100Th.', 'datum_mw': 'Jun 21, 2022', 'x': 1655762400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21532.png?lm=1427627419)'}}]}]			-	-	423'
Jude Winchester																														
Paul Heatley																														
Jordan Forsythe																														
Ross Clarke																														
Ben Kennedy																														
Adam Lecky																														
Jordan Owens	Jul 9, 1989	Belfast	32	1,88 m	Northern Ireland	attack - Centre-Forward	Crusaders FC	Jul 1, 2008	Jun 30, 2023	Aug 7, 2020	0.0	34	31	1.23	7	2	16	8	3	-	-			1.455'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 75000, 'verein': 'Crusaders FC', 'age': '32', 'mw': '€75Th.', 'datum_mw': 'Sep 27, 2021', 'x': 1632693600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21532.png?lm=1427627419)'}}, {'y': 75000, 'verein': 'Crusaders FC', 'age': '32', 'mw': '€75Th.', 'datum_mw': 'Jun 21, 2022', 'x': 1655762400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21532.png?lm=1427627419)'}}]}]			-	-	208'
Johnny McMurray																														
Jonny Frazer																														
Brandon Doyle																														
