Name	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Player agent	Current club	Joined	Contract expires	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values	Date of last contract extension	Name in home country	Social-Media
Mantas Pikciunas																														
Lukas Paukste																														
Evaldas Jurgelis																														
Gustas Baliutavicius																														
Rimvydas Sadauskas	Jul 21, 1996	Kaunas	25	1,93 m	Lithuania	Defender - Centre-Back	right	Elite Star Agency	FA Siauliai	Jan 7, 2022	Dec 31, 2022	0.0	35	23	1.91	1	-	1	8	5	3	-	-	-	1.341'	1.341'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 25000, 'verein': 'FC Stumbras Kaunas (- 2019)', 'age': '18', 'mw': '€25Th.', 'datum_mw': 'Mar 20, 2015', 'x': 1426806000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/43957.png?lm=1499462029)'}}, {'y': 75000, 'verein': 'FC Stumbras Kaunas (- 2019)', 'age': '18', 'mw': '€75Th.', 'datum_mw': 'Jun 28, 2015', 'x': 1435442400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/43957.png?lm=1499462029)'}}, {'y': 100000, 'verein': 'FC Stumbras Kaunas (- 2019)', 'age': '19', 'mw': '€100Th.', 'datum_mw': 'Dec 8, 2015', 'x': 1449529200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/43957.png?lm=1499462029)'}}, {'y': 125000, 'verein': 'FC Stumbras Kaunas (- 2019)', 'age': '19', 'mw': '€125Th.', 'datum_mw': 'Jun 18, 2016', 'x': 1466200800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/43957.png?lm=1499462029)'}}, {'y': 75000, 'verein': 'FC Stumbras Kaunas (- 2019)', 'age': '20', 'mw': '€75Th.', 'datum_mw': 'Jun 20, 2017', 'x': 1497909600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/43957.png?lm=1499462029)'}}, {'y': 125000, 'verein': 'FC Stumbras Kaunas (- 2019)', 'age': '21', 'mw': '€125Th.', 'datum_mw': 'Jan 11, 2018', 'x': 1515625200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/43957.png?lm=1499462029)'}}, {'y': 125000, 'verein': 'FC Stumbras Kaunas (- 2019)', 'age': '22', 'mw': '€125Th.', 'datum_mw': 'Oct 2, 2018', 'x': 1538431200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/43957.png?lm=1499462029)'}}, {'y': 200000, 'verein': 'FK Kauno Zalgiris', 'age': '23', 'mw': '€200Th.', 'datum_mw': 'Apr 2, 2020', 'x': 1585778400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/40090.png?lm=1458379208)'}}, {'y': 175000, 'verein': 'FK Kauno Zalgiris', 'age': '24', 'mw': '€175Th.', 'datum_mw': 'Aug 10, 2020', 'x': 1597010400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/40090.png?lm=1458379208)'}}, {'y': 225000, 'verein': 'FK Kauno Zalgiris', 'age': '25', 'mw': '€225Th.', 'datum_mw': 'Dec 7, 2021', 'x': 1638831600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/40090.png?lm=1458379208)'}}, {'y': 275000, 'verein': 'FA Siauliai', 'age': '25', 'mw': '€275Th.', 'datum_mw': 'Jun 18, 2022', 'x': 1655503200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/42310.png?lm=1529072878)'}}]}]			
Algis Jankauskas																														
Vytas Gaspuitis																														
Rokas Lekiatas																														
Gustas Zabita																														
Ernestas Pilypas																														
