Name	Date of birth	Age	Height	Citizenship	Position	Foot	Current club	Joined	Contract expires	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values
Jake Victor																									
Francisco Paulino																									
Edu Oliva																									
Christopher Parkinson																									
Dani Guererro																									
Kivan Ramos																									
Jordan McGrail																									
Gillan Kenny																									
Julian Britto																									
Julian Laguea																									
Angel Field																									
Domingo																									
Francisco Moreno																									
Jyron Zammitt																									
Omar El Yettefti	Nov 23, 2002	19	1,77 m	"Gibraltar
  Morocco"	midfield - Central Midfield	right	FC College 1975	Jan 17, 2022	Jun 30, 2022	0.0	19	18	0.17	-	-	-	6	4	5	-	-	-	-	1.184'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Europa Point FC', 'age': '18', 'mw': '€50Th.', 'datum_mw': 'Nov 15, 2021', 'x': 1636930800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/44631.png?lm=1575993924)'}}, {'y': 50000, 'verein': 'FC College 1975', 'age': '19', 'mw': '€50Th.', 'datum_mw': 'Jun 24, 2022', 'x': 1656021600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/50320.png?lm=1471453928)'}}, {'y': 25000, 'verein': 'FC College 1975', 'age': '19', 'mw': '€25Th.', 'datum_mw': 'Jun 24, 2022', 'x': 1656021600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/50320.png?lm=1471453928)'}}]}]
Estiven Molina Ortiz																									
Kaylan Franco																									
Alejandro Valero																									
Noah Eisenberg																									
Christian Pacheco																									
Jamie Caetano																									
Tamim Alizoy																									
Jaydon Drakes																									
Javi Anaya																									
Germán Cortés																									
Adam Gracia																									
Finlay Cawthorn																									
