Name	Name in home country	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Player agent	Current club	Joined	Contract expires	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values	Outfitter	Social-Media
Egil Selvik																														
Frank Stople																														
Sören Reese	Søren Reese	Jul 29, 1993	Ingstrup	28	1,85 m	Denmark	Defender - Centre-Back	left	Loevel/Lund	FK Haugesund	Feb 14, 2022	Dec 31, 2024	0.0	32	19	0.95	-	-	1	1	-	3	-	-	-	-	1.664'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Jammerbugt FC U19', 'age': '18', 'mw': '€50Th.', 'datum_mw': 'Aug 12, 2011', 'x': 1313100000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/22921.png?lm=1458926972)'}}, {'y': 0, 'verein': 'Blokhus FC', 'age': '18', 'mw': '-', 'datum_mw': 'Jul 19, 2012', 'x': 1342648800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/20108.png?lm=1458926972)'}}, {'y': 100000, 'verein': 'Viborg FF', 'age': '21', 'mw': '€100Th.', 'datum_mw': 'Feb 6, 2015', 'x': 1423177200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1063.png?lm=1518117799)'}}, {'y': 150000, 'verein': 'Viborg FF', 'age': '22', 'mw': '€150Th.', 'datum_mw': 'Sep 2, 2015', 'x': 1441144800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1063.png?lm=1518117799)'}}, {'y': 250000, 'verein': 'Viborg FF', 'age': '22', 'mw': '€250Th.', 'datum_mw': 'Jan 21, 2016', 'x': 1453330800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1063.png?lm=1518117799)'}}, {'y': 350000, 'verein': 'Viborg FF', 'age': '23', 'mw': '€350Th.', 'datum_mw': 'Aug 12, 2016', 'x': 1470952800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1063.png?lm=1518117799)'}}, {'y': 400000, 'verein': 'Viborg FF', 'age': '23', 'mw': '€400Th.', 'datum_mw': 'Dec 12, 2016', 'x': 1481497200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1063.png?lm=1518117799)'}}, {'y': 400000, 'verein': 'Viborg FF', 'age': '23', 'mw': '€400Th.', 'datum_mw': 'Jun 21, 2017', 'x': 1497996000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1063.png?lm=1518117799)'}}, {'y': 350000, 'verein': 'Viborg FF', 'age': '24', 'mw': '€350Th.', 'datum_mw': 'Dec 18, 2017', 'x': 1513551600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1063.png?lm=1518117799)'}}, {'y': 350000, 'verein': 'Viborg FF', 'age': '24', 'mw': '€350Th.', 'datum_mw': 'Jun 7, 2018', 'x': 1528322400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1063.png?lm=1518117799)'}}, {'y': 400000, 'verein': 'AC Horsens', 'age': '25', 'mw': '€400Th.', 'datum_mw': 'Dec 21, 2018', 'x': 1545346800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2414.png?lm=1580920529)'}}, {'y': 400000, 'verein': 'AC Horsens', 'age': '25', 'mw': '€400Th.', 'datum_mw': 'Jun 8, 2019', 'x': 1559944800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2414.png?lm=1580920529)'}}, {'y': 300000, 'verein': 'FC Midtjylland', 'age': '26', 'mw': '€300Th.', 'datum_mw': 'Dec 22, 2019', 'x': 1576969200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/865.png?lm=1518117451)'}}, {'y': 350000, 'verein': 'FC Midtjylland', 'age': '27', 'mw': '€350Th.', 'datum_mw': 'Jul 31, 2020', 'x': 1596146400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/865.png?lm=1518117451)'}}, {'y': 400000, 'verein': 'AC Horsens', 'age': '27', 'mw': '€400Th.', 'datum_mw': 'Jun 4, 2021', 'x': 1622757600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2414.png?lm=1580920529)'}}, {'y': 400000, 'verein': 'SönderjyskE', 'age': '28', 'mw': '€400Th.', 'datum_mw': 'Dec 28, 2021', 'x': 1640646000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/5817.png?lm=1518117723)'}}]}]		
Ulrik Fredriksen	Ulrik Tillung Fredriksen	Jun 17, 1999	Bergen	23	1,89 m	Norway	Defender - Centre-Back	right	Daniel Steinfeld	FK Haugesund	Jan 13, 2020	Dec 31, 2023	0.0	31	28	1.14	2	-	1	1	3	3	-	-	-	1.201'	2.401'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 200000, 'verein': 'Sogndal IL', 'age': '18', 'mw': '€200Th.', 'datum_mw': 'Dec 23, 2017', 'x': 1513983600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2038.png?lm=1421427416)'}}, {'y': 200000, 'verein': 'Sogndal IL', 'age': '19', 'mw': '€200Th.', 'datum_mw': 'Dec 30, 2018', 'x': 1546124400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2038.png?lm=1421427416)'}}, {'y': 200000, 'verein': 'Sogndal IL', 'age': '20', 'mw': '€200Th.', 'datum_mw': 'Dec 29, 2019', 'x': 1577574000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2038.png?lm=1421427416)'}}, {'y': 300000, 'verein': 'FK Haugesund', 'age': '21', 'mw': '€300Th.', 'datum_mw': 'Dec 31, 2020', 'x': 1609369200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2761.png?lm=1515836744)'}}, {'y': 400000, 'verein': 'FK Haugesund', 'age': '22', 'mw': '€400Th.', 'datum_mw': 'Jan 3, 2022', 'x': 1641164400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2761.png?lm=1515836744)'}}]}]		
Anders Baertelsen																														
Nikolas Walstad																														
Thore Pedersen																														
Kevin Martin Krygard																														
Torje Naustdal																														
Peter Therkildsen																														
