Name	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Player agent	Current club	Joined	Contract expires	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values
Nikola Jovicevic																											
Ilija Radunovic																											
Lazar Šekularac																											
Imran Redžepagić																											
Edis Redzepagic																											
Srdjan Boskovic																											
Dzelal Sabovic																											
Senid Vucetovic																											
Igor Asanovic																											
Stefan Kastratovic																											
Jovan Pajovic																											
Rados Dedic																											
Petar Vuković																											
Vasilije Radenovic																											
Matija Racic																											
Davor Kontic																											
