Name	Name in home country	Date of birth	Place of birth	Age	Height	Citizenship	Position	Player agent	Current club	Joined	Contract expires	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values	Foot	Outfitter	Social-Media
Jón Hrafn Barkarson																														
Bjarki Arnaldarson																														
Viktor Freyr Sigurdsson																														
Atli Jónasson																														
Óttar Bjarni Gudmundsson																														
Bjarki Adalsteinsson																														
Dagur Austmann Hilmarsson																														
Gyrdir Hrafn Gudbrandsson																														
Ósvald Jarl Traustason																														
Birgir Baldvinsson																														
Hjalti Sigurdsson																														
Loftur Páll Eiríksson																														
Arnór Ingi Kristinsson																														
Brynjar Hlödversson																														
Dadi Baerings Halldórsson																														
Emil Berger	Henrik Emil Hahne Berger	May 23, 1991	Degerfors	31	1,71 m	Sweden	midfield - Central Midfield	Lighthouse Football	Leiknir Reykjavík	Feb 19, 2021	Dec 31, 2022	0.0	24	24	1.17	3	5	-	1	3	6	-	-	-	691'	2.073'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Degerfors IF', 'age': '18', 'mw': '€50Th.', 'datum_mw': 'Mar 7, 2010', 'x': 1267916400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/3641.png?lm=1525078982)'}}, {'y': 100000, 'verein': 'Degerfors IF', 'age': '19', 'mw': '€100Th.', 'datum_mw': 'Jun 20, 2010', 'x': 1276984800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/3641.png?lm=1525078982)'}}, {'y': 100000, 'verein': 'Carlstad United BK', 'age': '19', 'mw': '€100Th.', 'datum_mw': 'Aug 30, 2010', 'x': 1283119200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/7395.png?lm=1438983633)'}}, {'y': 200000, 'verein': 'Örebro SK', 'age': '20', 'mw': '€200Th.', 'datum_mw': 'Nov 21, 2011', 'x': 1321830000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1056.png?lm=1414431756)'}}, {'y': 100000, 'verein': 'Fylkir Reykjavík', 'age': '22', 'mw': '€100Th.', 'datum_mw': 'Jul 22, 2013', 'x': 1374444000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2576.png?lm=1423493406)'}}, {'y': 0, 'verein': 'BK Forward', 'age': '25', 'mw': '-', 'datum_mw': 'Aug 19, 2016', 'x': 1471557600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/7923.png?lm=1461965393)'}}, {'y': 0, 'verein': 'Rynninge IK', 'age': '26', 'mw': '-', 'datum_mw': 'Apr 5, 2018', 'x': 1522879200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9291.png?lm=1490996479)'}}, {'y': 50000, 'verein': 'Dalkurd FF', 'age': '29', 'mw': '€50Th.', 'datum_mw': 'Oct 25, 2020', 'x': 1603576800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/23302.png?lm=1411063565)'}}, {'y': 75000, 'verein': 'Leiknir Reykjavík', 'age': '30', 'mw': '€75Th.', 'datum_mw': 'Aug 15, 2021', 'x': 1628978400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21860.png?lm=1423493698)'}}, {'y': 100000, 'verein': 'Leiknir Reykjavík', 'age': '30', 'mw': '€100Th.', 'datum_mw': 'Oct 16, 2021', 'x': 1634335200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21860.png?lm=1423493698)'}}]}]			
Sindri Björnsson																														
Mikkel Jakobsen																														
Árni Elvar Árnason																														
Maciej Makuszewski		Sep 29, 1989	Grajewo	32	1,76 m	Poland	attack - Right Winger		Leiknir Reykjavík	Feb 17, 2022	Oct 31, 2022	0.0	27	24	1.25	3	4	-	6	15	1	1	-	-	483'	1.449'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 75000, 'verein': 'Jagiellonia Bialystok', 'age': '20', 'mw': '€75Th.', 'datum_mw': 'Aug 4, 2010', 'x': 1280872800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2300_1611305583.png?lm=1611305583)'}}, {'y': 200000, 'verein': 'Jagiellonia Bialystok', 'age': '21', 'mw': '€200Th.', 'datum_mw': 'Jan 20, 2011', 'x': 1295478000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2300_1611305583.png?lm=1611305583)'}}, {'y': 325000, 'verein': 'Jagiellonia Bialystok', 'age': '21', 'mw': '€325Th.', 'datum_mw': 'Jun 24, 2011', 'x': 1308866400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2300_1611305583.png?lm=1611305583)'}}, {'y': 250000, 'verein': 'Jagiellonia Bialystok', 'age': '22', 'mw': '€250Th.', 'datum_mw': 'Feb 26, 2012', 'x': 1330210800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2300_1611305583.png?lm=1611305583)'}}, {'y': 800000, 'verein': 'Terek Grozny', 'age': '22', 'mw': '€800Th.', 'datum_mw': 'Sep 22, 2012', 'x': 1348264800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/3725_1482250767.png?lm=1482250769)'}}, {'y': 800000, 'verein': 'Terek Grozny', 'age': '23', 'mw': '€800Th.', 'datum_mw': 'Jan 27, 2013', 'x': 1359241200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/3725_1482250767.png?lm=1482250769)'}}, {'y': 1000000, 'verein': 'Terek Grozny', 'age': '23', 'mw': '€1.00m', 'datum_mw': 'Jun 19, 2013', 'x': 1371592800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/3725_1482250767.png?lm=1482250769)'}}, {'y': 800000, 'verein': 'Lechia Gdansk', 'age': '24', 'mw': '€800Th.', 'datum_mw': 'Feb 14, 2014', 'x': 1392332400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4000_1485246052.png?lm=1485246052)'}}, {'y': 800000, 'verein': 'Lechia Gdansk', 'age': '24', 'mw': '€800Th.', 'datum_mw': 'Jul 21, 2014', 'x': 1405893600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4000_1485246052.png?lm=1485246052)'}}, {'y': 750000, 'verein': 'Lechia Gdansk', 'age': '25', 'mw': '€750Th.', 'datum_mw': 'Jan 10, 2015', 'x': 1420844400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4000_1485246052.png?lm=1485246052)'}}, {'y': 700000, 'verein': 'Lechia Gdansk', 'age': '25', 'mw': '€700Th.', 'datum_mw': 'Mar 5, 2015', 'x': 1425510000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4000_1485246052.png?lm=1485246052)'}}, {'y': 750000, 'verein': 'Lechia Gdansk', 'age': '25', 'mw': '€750Th.', 'datum_mw': 'Jun 30, 2015', 'x': 1435615200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4000_1485246052.png?lm=1485246052)'}}, {'y': 750000, 'verein': 'Vitória Setúbal FC', 'age': '26', 'mw': '€750Th.', 'datum_mw': 'Feb 24, 2016', 'x': 1456268400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1085.png?lm=1547543194)'}}, {'y': 700000, 'verein': 'Lech Poznan', 'age': '26', 'mw': '€700Th.', 'datum_mw': 'Jul 24, 2016', 'x': 1469311200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/238.png?lm=1635266156)'}}, {'y': 800000, 'verein': 'Lech Poznan', 'age': '27', 'mw': '€800Th.', 'datum_mw': 'Jan 21, 2017', 'x': 1484953200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/238.png?lm=1635266156)'}}, {'y': 800000, 'verein': 'Lech Poznan', 'age': '27', 'mw': '€800Th.', 'datum_mw': 'Jul 5, 2017', 'x': 1499205600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/238.png?lm=1635266156)'}}, {'y': 1300000, 'verein': 'Lech Poznan', 'age': '28', 'mw': '€1.30m', 'datum_mw': 'Jan 16, 2018', 'x': 1516057200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/238.png?lm=1635266156)'}}, {'y': 1300000, 'verein': 'Lech Poznan', 'age': '28', 'mw': '€1.30m', 'datum_mw': 'Jul 3, 2018', 'x': 1530568800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/238.png?lm=1635266156)'}}, {'y': 1000000, 'verein': 'Lech Poznan', 'age': '29', 'mw': '€1.00m', 'datum_mw': 'Jan 25, 2019', 'x': 1548370800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/238.png?lm=1635266156)'}}, {'y': 800000, 'verein': 'Lech Poznan', 'age': '29', 'mw': '€800Th.', 'datum_mw': 'Jun 29, 2019', 'x': 1561759200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/238.png?lm=1635266156)'}}, {'y': 300000, 'verein': 'Lech Poznan', 'age': '30', 'mw': '€300Th.', 'datum_mw': 'Jan 15, 2020', 'x': 1579042800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/238.png?lm=1635266156)'}}, {'y': 400000, 'verein': 'Jagiellonia Bialystok', 'age': '30', 'mw': '€400Th.', 'datum_mw': 'Aug 18, 2020', 'x': 1597701600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2300_1611305583.png?lm=1611305583)'}}, {'y': 400000, 'verein': 'Jagiellonia Bialystok', 'age': '31', 'mw': '€400Th.', 'datum_mw': 'Jan 19, 2021', 'x': 1611010800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2300_1611305583.png?lm=1611305583)'}}, {'y': 450000, 'verein': 'Jagiellonia Bialystok', 'age': '31', 'mw': '€450Th.', 'datum_mw': 'May 21, 2021', 'x': 1621548000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2300_1611305583.png?lm=1611305583)'}}, {'y': 300000, 'verein': 'Without Club', 'age': '32', 'mw': '€300Th.', 'datum_mw': 'Oct 28, 2021', 'x': 1635372000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/515.png?lm=1456997255)'}}, {'y': 200000, 'verein': 'Without Club', 'age': '32', 'mw': '€200Th.', 'datum_mw': 'Feb 2, 2022', 'x': 1643756400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/515.png?lm=1456997255)'}}]}]	right	Puma	
Kristófer Konrádsson																														
Mikkel Dahl																														
Róbert Hauksson																														
