Name	Name in home country	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Current club	Joined	Contract expires	Date of last contract extension	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values
Álex Caro																												
Christian Fraiz																												
Ethan Santos	Ethan James Santos	Dec 22, 1998	Gibraltar	23	1,84 m	Gibraltar	Defender - Centre-Back	right	Mons Calpe SC	Jul 1, 2019	Jun 30, 2022	Jun 24, 2020	0.0	19	19	1.53	-	-	-	-	1	3	1	1	-	-	1.571'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 75000, 'verein': 'Mons Calpe SC', 'age': '22', 'mw': '€75Th.', 'datum_mw': 'Nov 15, 2021', 'x': 1636930800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/42546.png?lm=1556702970)'}}, {'y': 75000, 'verein': 'Mons Calpe SC', 'age': '23', 'mw': '€75Th.', 'datum_mw': 'Jun 24, 2022', 'x': 1656021600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/42546.png?lm=1556702970)'}}]}]
Renan Bernardes																												
James Parkinson																												
Álex Trujillo																												
Emanuel Ojeda																												
Ayman Boulaich		Feb 2, 1994		28	1,81 m	Gibraltar	Defender - Centre-Back		Mons Calpe SC	Jul 1, 2020	Jun 30, 2022		0.0	14	5			-	-	-	1	2	2	-	-	-	-	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 25000, 'verein': 'Mons Calpe SC', 'age': '27', 'mw': '€25Th.', 'datum_mw': 'Nov 15, 2021', 'x': 1636930800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/42546.png?lm=1556702970)'}}, {'y': 10000, 'verein': 'Mons Calpe SC', 'age': '28', 'mw': '€10Th.', 'datum_mw': 'Jun 24, 2022', 'x': 1656021600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/42546.png?lm=1556702970)'}}]}]
Andre dos Santos																												
Mauricio Reygadas																												
Ashley Rodriguez																												
Julio Bado																												
Nando Cózar																												
Bilal Douah																												
Ayoub El Hmidi		Sep 30, 2000	Gibraltar	21	1,82 m	Gibraltar	midfield - Left Midfield		Mons Calpe SC	Jul 1, 2018	Jun 30, 2023	May 17, 2021	0.0	20	20	1.45	6	-	-	1	7	5	-	-	-	281'	1.684'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Mons Calpe SC', 'age': '21', 'mw': '€50Th.', 'datum_mw': 'Nov 15, 2021', 'x': 1636930800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/42546.png?lm=1556702970)'}}, {'y': 50000, 'verein': 'Mons Calpe SC', 'age': '21', 'mw': '€50Th.', 'datum_mw': 'Jun 24, 2022', 'x': 1656021600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/42546.png?lm=1556702970)'}}]}]
Javi Moreno																												
Nathan Santos																												
John-Paul Duarte																												
Robert Montovio																												
