Name	Name in home country	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Current club	Joined	Contract expires	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values	Player agent	Outfitter	Social-Media
Filip Trajcevski																														
Andrej Jovcevski																														
Hristijan Grozdanoski	Христијан Грозданоски	Jun 5, 1993	Bitola	29	1,85 m	North Macedonia	Defender - Centre-Back	right	Pelister Bitola	-	-	0.0	31	31	1.26	-	1	-	-	1	6	1	-	-	-	2.772'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 75000, 'verein': 'Mladost Carev Dvor', 'age': '22', 'mw': '€75Th.', 'datum_mw': 'Dec 17, 2015', 'x': 1450306800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/45936.png?lm=1439370596)'}}, {'y': 75000, 'verein': 'Mladost Carev Dvor', 'age': '22', 'mw': '€75Th.', 'datum_mw': 'May 25, 2016', 'x': 1464127200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/45936.png?lm=1439370596)'}}, {'y': 100000, 'verein': 'Sileks Kratovo', 'age': '25', 'mw': '€100Th.', 'datum_mw': 'Dec 12, 2018', 'x': 1544569200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/535.png?lm=1420288170)'}}, {'y': 125000, 'verein': 'Sileks Kratovo', 'age': '25', 'mw': '€125Th.', 'datum_mw': 'May 29, 2019', 'x': 1559080800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/535.png?lm=1420288170)'}}, {'y': 100000, 'verein': 'Sileks Kratovo', 'age': '26', 'mw': '€100Th.', 'datum_mw': 'Dec 12, 2019', 'x': 1576105200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/535.png?lm=1420288170)'}}, {'y': 200000, 'verein': 'Sileks Kratovo', 'age': '27', 'mw': '€200Th.', 'datum_mw': 'Dec 19, 2020', 'x': 1608332400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/535.png?lm=1420288170)'}}, {'y': 200000, 'verein': 'Rabotnicki Skopje', 'age': '27', 'mw': '€200Th.', 'datum_mw': 'May 18, 2021', 'x': 1621288800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4641.png?lm=1493281373)'}}]}]			
Hristijan Dragarski																														
Andrej Richkov																														
Bojan Stefanovski																														
Filip Boskovski																														
Edgard Ali Natrantg																														
Amir Fejzulovski																														
Mihail Milevski																														
Hristijan Veceski	Христијан Вецески	May 7, 1999	Prilep	23	1,88 m	North Macedonia	midfield - Defensive Midfield	right	Pelister Bitola	Aug 1, 2021	-	0.0	1	-			-	-	-	-	-	-	-	-	-	-	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Pobeda Prilep', 'age': '20', 'mw': '€50Th.', 'datum_mw': 'May 29, 2019', 'x': 1559080800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/6114.png?lm=1488384292)'}}, {'y': 75000, 'verein': 'Pelister Bitola', 'age': '22', 'mw': '€75Th.', 'datum_mw': 'Dec 16, 2021', 'x': 1639609200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/534.png?lm=1420288205)'}}, {'y': 100000, 'verein': 'Pelister Bitola', 'age': '23', 'mw': '€100Th.', 'datum_mw': 'May 17, 2022', 'x': 1652738400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/534.png?lm=1420288205)'}}]}]			
Alpaj Jusuf																														
Igor Momirovski																														
