Name	Name in home country	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Player agent	Current club	Joined	Contract expires	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values
Ashley Morris																												
Rhys Wilson																												
Sam Goodwin																												
Dan Jefferies																												
Billy Borge																												
Kane Owen																												
Mael Davies 																												
Liam Walsh																												
Lewis Harling 																												
Kai Whitmore																												
Shaun MacDonald	Shaun Benjamin MacDonald	Jun 17, 1988	Swansea	34	1,83 m	Wales	midfield - Central Midfield	right	The Endgame Group	Penybont FC	Jan 1, 2022	Jun 30, 2023	0.0	35	20	1.10	-	-	-	4	11	2	-	-	-	-	1.206'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Swansea City', 'age': '16', 'mw': '€50Th.', 'datum_mw': 'Oct 4, 2004', 'x': 1096840800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2288.png?lm=1472243738)'}}, {'y': 200000, 'verein': 'Yeovil Town', 'age': '20', 'mw': '€200Th.', 'datum_mw': 'Jan 8, 2009', 'x': 1231369200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/972.png?lm=1495541126)'}}, {'y': 200000, 'verein': 'AFC Bournemouth', 'age': '25', 'mw': '€200Th.', 'datum_mw': 'Jul 12, 2013', 'x': 1373580000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/989.png?lm=1457991811)'}}, {'y': 350000, 'verein': 'AFC Bournemouth', 'age': '25', 'mw': '€350Th.', 'datum_mw': 'Jan 8, 2014', 'x': 1389135600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/989.png?lm=1457991811)'}}, {'y': 300000, 'verein': 'AFC Bournemouth', 'age': '26', 'mw': '€300Th.', 'datum_mw': 'Feb 24, 2015', 'x': 1424732400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/989.png?lm=1457991811)'}}, {'y': 250000, 'verein': 'AFC Bournemouth', 'age': '27', 'mw': '€250Th.', 'datum_mw': 'Jul 1, 2015', 'x': 1435701600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/989.png?lm=1457991811)'}}, {'y': 500000, 'verein': 'AFC Bournemouth', 'age': '27', 'mw': '€500Th.', 'datum_mw': 'Feb 9, 2016', 'x': 1454972400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/989.png?lm=1457991811)'}}, {'y': 500000, 'verein': 'AFC Bournemouth', 'age': '28', 'mw': '€500Th.', 'datum_mw': 'Aug 1, 2016', 'x': 1470002400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/989.png?lm=1457991811)'}}, {'y': 500000, 'verein': 'Wigan Athletic', 'age': '28', 'mw': '€500Th.', 'datum_mw': 'Feb 27, 2017', 'x': 1488150000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1071.png?lm=1407653830)'}}, {'y': 350000, 'verein': 'Wigan Athletic', 'age': '30', 'mw': '€350Th.', 'datum_mw': 'Sep 24, 2018', 'x': 1537740000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1071.png?lm=1407653830)'}}, {'y': 250000, 'verein': 'Wigan Athletic', 'age': '31', 'mw': '€250Th.', 'datum_mw': 'Jun 28, 2019', 'x': 1561672800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1071.png?lm=1407653830)'}}, {'y': 250000, 'verein': 'Rotherham United', 'age': '32', 'mw': '€250Th.', 'datum_mw': 'Oct 15, 2020', 'x': 1602712800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1194.png?lm=1407655489)'}}, {'y': 250000, 'verein': 'Rotherham United', 'age': '32', 'mw': '€250Th.', 'datum_mw': 'Mar 10, 2021', 'x': 1615330800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1194.png?lm=1407655489)'}}, {'y': 200000, 'verein': 'Rotherham United', 'age': '33', 'mw': '€200Th.', 'datum_mw': 'Jun 30, 2021', 'x': 1625004000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1194.png?lm=1407655489)'}}, {'y': 0, 'verein': 'Career break', 'age': '33', 'mw': '-', 'datum_mw': 'Sep 1, 2021', 'x': 1630447200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/2113.png?lm=1402293063)'}}, {'y': 75000, 'verein': 'Penybont FC', 'age': '33', 'mw': '€75Th.', 'datum_mw': 'Jan 9, 2022', 'x': 1641682800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/62026.png?lm=1567623678)'}}, {'y': 75000, 'verein': 'Penybont FC', 'age': '33', 'mw': '€75Th.', 'datum_mw': 'May 10, 2022', 'x': 1652133600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/62026.png?lm=1567623678)'}}]}]
Ashley Evans																												
Lewis Clutton																												
Ryan Reynolds 																												
Nathan Wood																												
Tom Tweedy																												
Kostya Georgievsky																												
Keane Watts																												
Sam Snaith																												
Ben Ahmun																												
Rhys Griffiths																												
