Name	Date of birth	Place of birth	Age	Height	Citizenship	Position	Current club	Joined	Contract expires	Date of last contract extension	Outfitter	Social-Media	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Goals conceded	Clean sheets	Minutes played	Market Values	Own goals	Penalty goals	Minutes per goal
Francesco Pari																														
Simone Benedettini	Jan 21, 1997	San Marino	25	1,91 m	San Marino	Goalkeeper	SS Murata	Jan 8, 2020	Jun 30, 2022	Jun 14, 2021	Saller		0.0	17	14	1.29	-	-	-	-	2	-	1	11	7	1.232'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Modena Primavera', 'age': '18', 'mw': '€50Th.', 'datum_mw': 'Nov 25, 2015', 'x': 1448406000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1385_1553604636.png?lm=1553604636)'}}, {'y': 50000, 'verein': 'Modena Primavera', 'age': '19', 'mw': '€50Th.', 'datum_mw': 'Jun 7, 2016', 'x': 1465250400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1385_1553604636.png?lm=1553604636)'}}, {'y': 50000, 'verein': 'US Pianese', 'age': '20', 'mw': '€50Th.', 'datum_mw': 'Jun 30, 2017', 'x': 1498773600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/34499_1561384235.png?lm=1561384235)'}}, {'y': 25000, 'verein': 'Sammaurese Calcio', 'age': '21', 'mw': '€25Th.', 'datum_mw': 'Feb 1, 2018', 'x': 1517439600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10614.png?lm=1563469761)'}}, {'y': 0, 'verein': 'Sammaurese Calcio', 'age': '21', 'mw': '-', 'datum_mw': 'Jun 25, 2018', 'x': 1529877600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10614.png?lm=1563469761)'}}, {'y': 0, 'verein': 'San Marino', 'age': '22', 'mw': '-', 'datum_mw': 'Feb 5, 2019', 'x': 1549321200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10155_1563800149.png?lm=1563800149)'}}, {'y': 0, 'verein': 'San Marino', 'age': '22', 'mw': '-', 'datum_mw': 'Jun 24, 2019', 'x': 1561327200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10155_1563800149.png?lm=1563800149)'}}, {'y': 25000, 'verein': 'Cattolica Calcio SM', 'age': '22', 'mw': '€25Th.', 'datum_mw': 'Dec 13, 2019', 'x': 1576191600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10155_1596447892.png?lm=1596447835)'}}, {'y': 25000, 'verein': 'SS Murata', 'age': '23', 'mw': '€25Th.', 'datum_mw': 'Jun 10, 2020', 'x': 1591740000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10611.png?lm=1539892689)'}}, {'y': 25000, 'verein': 'SS Murata', 'age': '24', 'mw': '€25Th.', 'datum_mw': 'Jun 10, 2021', 'x': 1623276000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10611.png?lm=1539892689)'}}, {'y': 25000, 'verein': 'SS Murata', 'age': '24', 'mw': '€25Th.', 'datum_mw': 'Jan 7, 2022', 'x': 1641510000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10611.png?lm=1539892689)'}}]}]			
Pasquale Castelgrande																														
Achille Terenzi																														
Luca Lelli																														
Serigne Fallou Niang Fall																														
Nicola Carlini																														
Fabio Vitaioli																														
Federico Poppi																														
Nicolò Ricci																														
Andrea Genghini																														
Paolo Gori																														
Alessio Cangini																														
Niccolò Alberigi																														
Alex Toccaceli																														
Giacomo Terenzi																														
Carlo Valentini																														
Nicola Bertozzi																														
Alessio Indelicato 																														
Andrea Comuniello																														
Marco Bernardi	Jan 2, 1994	San Marino	28	1,90 m	San Marino	attack - Second Striker	SS Murata	Aug 6, 2021	-				0.0	17	15	2.13	1	-	13	2	1	-	-			459'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 25000, 'verein': 'SS Folgore/Falciano', 'age': '26', 'mw': '€25Th.', 'datum_mw': 'Jun 10, 2020', 'x': 1591740000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/11479.png?lm=1416125559)'}}, {'y': 10000, 'verein': 'SS Folgore/Falciano', 'age': '27', 'mw': '€10Th.', 'datum_mw': 'Jun 10, 2021', 'x': 1623276000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/11479.png?lm=1416125559)'}}, {'y': 25000, 'verein': 'SS Murata', 'age': '28', 'mw': '€25Th.', 'datum_mw': 'Jan 7, 2022', 'x': 1641510000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10611.png?lm=1539892689)'}}]}]	-	-	459'
Daniele Babboni																														
Mihail Bruma																														
