Name	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Current club	Joined	Contract expires	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Goals conceded	Clean sheets	Minutes played	Market Values	Own goals	Penalty goals	Minutes per goal	On loan from	Contract there expires
Alessandro Semprini	Jan 29, 1994	Rimini	28	1,87 m	Italy	Goalkeeper	right	SS Pennarossa	Aug 21, 2020	Jun 30, 2022	0.0	17	15	1.47	-	-	-	1	3	-	1	17	4	1.316'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 25000, 'verein': 'Without Club', 'age': '22', 'mw': '€25Th.', 'datum_mw': 'Jun 30, 2016', 'x': 1467237600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/515.png?lm=1456997255)'}}, {'y': 25000, 'verein': 'Forlì FC', 'age': '22', 'mw': '€25Th.', 'datum_mw': 'Dec 14, 2016', 'x': 1481670000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9816.png?lm=1451317076)'}}, {'y': 25000, 'verein': 'Forlì FC', 'age': '23', 'mw': '€25Th.', 'datum_mw': 'Jun 21, 2017', 'x': 1497996000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9816.png?lm=1451317076)'}}, {'y': 25000, 'verein': 'Forlì FC', 'age': '24', 'mw': '€25Th.', 'datum_mw': 'Feb 1, 2018', 'x': 1517439600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9816.png?lm=1451317076)'}}, {'y': 0, 'verein': 'Forlì FC', 'age': '24', 'mw': '-', 'datum_mw': 'Jun 25, 2018', 'x': 1529877600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9816.png?lm=1451317076)'}}, {'y': 0, 'verein': 'Forlì FC', 'age': '25', 'mw': '-', 'datum_mw': 'Feb 5, 2019', 'x': 1549321200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9816.png?lm=1451317076)'}}, {'y': 0, 'verein': 'Forlì FC', 'age': '25', 'mw': '-', 'datum_mw': 'Jun 26, 2019', 'x': 1561500000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9816.png?lm=1451317076)'}}, {'y': 0, 'verein': 'Forlì FC', 'age': '25', 'mw': '-', 'datum_mw': 'Dec 13, 2019', 'x': 1576191600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9816.png?lm=1451317076)'}}, {'y': 0, 'verein': 'Forlì FC', 'age': '25', 'mw': '-', 'datum_mw': 'Dec 13, 2019', 'x': 1576191600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9816.png?lm=1451317076)'}}, {'y': 0, 'verein': 'Forlì FC', 'age': '25', 'mw': '-', 'datum_mw': 'Dec 13, 2019', 'x': 1576191600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9816.png?lm=1451317076)'}}, {'y': 0, 'verein': 'Forlì FC', 'age': '25', 'mw': '-', 'datum_mw': 'Dec 13, 2019', 'x': 1576191600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9816.png?lm=1451317076)'}}, {'y': 0, 'verein': 'Forlì FC', 'age': '26', 'mw': '-', 'datum_mw': 'Jun 25, 2020', 'x': 1593036000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9816.png?lm=1451317076)'}}, {'y': 25000, 'verein': 'SS Pennarossa', 'age': '27', 'mw': '€25Th.', 'datum_mw': 'Jun 10, 2021', 'x': 1623276000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10612.png?lm=1539766486)'}}, {'y': 25000, 'verein': 'SS Pennarossa', 'age': '27', 'mw': '€25Th.', 'datum_mw': 'Jan 7, 2022', 'x': 1641510000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10612.png?lm=1539766486)'}}]}]					
Eugenio Marconi 																														
Luca Giuliani																														
Gianmaria Landi																														
Daniele Conti																														
Davide Maioli																														
Gabriele Raffaelli																														
Marco Baldani																														
Claudio Cola	Apr 24, 1986	Cesena	36	1,86 m	Italy	Defender - Centre-Back	right	SS Pennarossa	Aug 21, 2020	-	0.0	15	13	1.38	-	-	1	2	-	-	-			1.030'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 125000, 'verein': 'Santarcangelo Calcio', 'age': '28', 'mw': '€125Th.', 'datum_mw': 'Jul 25, 2014', 'x': 1406239200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/27525_1505653456.png?lm=1505653456)'}}, {'y': 100000, 'verein': 'Santarcangelo Calcio', 'age': '28', 'mw': '€100Th.', 'datum_mw': 'Jan 21, 2015', 'x': 1421794800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/27525_1505653456.png?lm=1505653456)'}}, {'y': 125000, 'verein': 'Santarcangelo Calcio', 'age': '29', 'mw': '€125Th.', 'datum_mw': 'Jun 22, 2015', 'x': 1434924000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/27525_1505653456.png?lm=1505653456)'}}, {'y': 100000, 'verein': 'Forlì FC', 'age': '30', 'mw': '€100Th.', 'datum_mw': 'Jun 30, 2016', 'x': 1467237600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/9816_1558536954.png?lm=1558536954)'}}, {'y': 50000, 'verein': 'Rimini FC', 'age': '31', 'mw': '€50Th.', 'datum_mw': 'Oct 2, 2017', 'x': 1506895200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4111.png?lm=1602435528)'}}, {'y': 50000, 'verein': 'Rimini FC', 'age': '31', 'mw': '€50Th.', 'datum_mw': 'Feb 1, 2018', 'x': 1517439600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4111.png?lm=1602435528)'}}, {'y': 25000, 'verein': 'Rimini FC', 'age': '32', 'mw': '€25Th.', 'datum_mw': 'Jun 25, 2018', 'x': 1529877600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4111.png?lm=1602435528)'}}, {'y': 25000, 'verein': 'San Marino', 'age': '32', 'mw': '€25Th.', 'datum_mw': 'Feb 5, 2019', 'x': 1549321200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10155_1563800149.png?lm=1563800149)'}}, {'y': 25000, 'verein': 'San Marino', 'age': '33', 'mw': '€25Th.', 'datum_mw': 'Jun 24, 2019', 'x': 1561327200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10155_1563800149.png?lm=1563800149)'}}, {'y': 25000, 'verein': 'ASD Savignanese', 'age': '33', 'mw': '€25Th.', 'datum_mw': 'Dec 13, 2019', 'x': 1576191600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/49335.png?lm=1434440796)'}}, {'y': 25000, 'verein': 'ASD Savignanese', 'age': '33', 'mw': '€25Th.', 'datum_mw': 'Dec 13, 2019', 'x': 1576191600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/49335.png?lm=1434440796)'}}, {'y': 25000, 'verein': 'ASD Savignanese', 'age': '33', 'mw': '€25Th.', 'datum_mw': 'Dec 13, 2019', 'x': 1576191600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/49335.png?lm=1434440796)'}}, {'y': 25000, 'verein': 'ASD Savignanese', 'age': '33', 'mw': '€25Th.', 'datum_mw': 'Dec 13, 2019', 'x': 1576191600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/49335.png?lm=1434440796)'}}, {'y': 25000, 'verein': 'ASD Savignanese', 'age': '34', 'mw': '€25Th.', 'datum_mw': 'Jun 25, 2020', 'x': 1593036000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/49335.png?lm=1434440796)'}}, {'y': 25000, 'verein': 'SS Pennarossa', 'age': '35', 'mw': '€25Th.', 'datum_mw': 'Jun 10, 2021', 'x': 1623276000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10612.png?lm=1539766486)'}}, {'y': 10000, 'verein': 'SS Pennarossa', 'age': '35', 'mw': '€10Th.', 'datum_mw': 'Jan 7, 2022', 'x': 1641510000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10612.png?lm=1539766486)'}}]}]	-	-	-		
Kevin Martin																														
Alberto Tomassini																														
Luca Righi 																														
Manuel De Biagi																														
Mirko Mantovani																														
Riccardo Michelotti	Sep 13, 1999		22		San Marino	midfield - Defensive Midfield		SS Pennarossa	Aug 18, 2021	Jun 30, 2022	0.0	10	6	2.67	-	-	4	2	1	-	-			147'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 25000, 'verein': 'SS Pennarossa', 'age': '22', 'mw': '€25Th.', 'datum_mw': 'Jan 7, 2022', 'x': 1641510000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10612.png?lm=1539766486)'}}]}]	-	-	-	La Fiorita 1967	-
Enzo Zago																														
Matteo Sebastiani																														
Alessandro Conti	Jan 7, 1998	Novafeltria	24	1,75 m	Italy	midfield - Central Midfield	right	SS Pennarossa	Jul 25, 2019	-	0.0	12	12	1.00	-	1	1	2	3	-	-			993'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Carpi Primavera', 'age': '17', 'mw': '€50Th.', 'datum_mw': 'Nov 25, 2015', 'x': 1448406000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4102_1631169567.png?lm=1631169567)'}}, {'y': 50000, 'verein': 'Cesena Primavera', 'age': '18', 'mw': '€50Th.', 'datum_mw': 'Jun 8, 2016', 'x': 1465336800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/20106.png?lm=1539765803)'}}, {'y': 50000, 'verein': 'Cesena Primavera', 'age': '19', 'mw': '€50Th.', 'datum_mw': 'May 18, 2017', 'x': 1495058400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/20106.png?lm=1539765803)'}}, {'y': 50000, 'verein': 'San Marino', 'age': '20', 'mw': '€50Th.', 'datum_mw': 'Feb 1, 2018', 'x': 1517439600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10155_1563800149.png?lm=1563800149)'}}, {'y': 50000, 'verein': 'San Marino', 'age': '20', 'mw': '€50Th.', 'datum_mw': 'Jun 27, 2018', 'x': 1530050400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10155_1563800149.png?lm=1563800149)'}}, {'y': 50000, 'verein': 'Avezzano Calcio', 'age': '21', 'mw': '€50Th.', 'datum_mw': 'Feb 5, 2019', 'x': 1549321200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4028.png?lm=1451412697)'}}, {'y': 25000, 'verein': 'Avezzano Calcio', 'age': '21', 'mw': '€25Th.', 'datum_mw': 'Jun 26, 2019', 'x': 1561500000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4028.png?lm=1451412697)'}}, {'y': 25000, 'verein': 'SS Pennarossa', 'age': '22', 'mw': '€25Th.', 'datum_mw': 'Jun 10, 2020', 'x': 1591740000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10612.png?lm=1539766486)'}}, {'y': 25000, 'verein': 'SS Pennarossa', 'age': '23', 'mw': '€25Th.', 'datum_mw': 'Jun 10, 2021', 'x': 1623276000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10612.png?lm=1539766486)'}}, {'y': 10000, 'verein': 'SS Pennarossa', 'age': '24', 'mw': '€10Th.', 'datum_mw': 'Jan 7, 2022', 'x': 1641510000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10612.png?lm=1539766486)'}}]}]	-	-	-		
Thomas Rastelli																														
Anxhelo Isaraj																														
Roberto Codispoti																														
Nicola Ciacci																														
Mattia Stefanelli	Mar 12, 1993	San Marino	29	1,81 m	San Marino	attack - Centre-Forward	right	SS Pennarossa	Jul 25, 2019	Jun 30, 2022	0.0	11	10	1.70	4	-	1	4	1	-	-			713'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Sporting Verucchio', 'age': '17', 'mw': '€50Th.', 'datum_mw': 'Nov 16, 2010', 'x': 1289862000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/26323.png?lm=1457444295)'}}, {'y': 50000, 'verein': 'Cesena Primavera', 'age': '19', 'mw': '€50Th.', 'datum_mw': 'Mar 16, 2012', 'x': 1331852400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/20106.png?lm=1539765803)'}}, {'y': 50000, 'verein': 'San Marino', 'age': '19', 'mw': '€50Th.', 'datum_mw': 'Feb 28, 2013', 'x': 1362006000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10155_1563800149.png?lm=1563800149)'}}, {'y': 50000, 'verein': 'San Marino', 'age': '20', 'mw': '€50Th.', 'datum_mw': 'Jun 7, 2013', 'x': 1370556000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10155_1563800149.png?lm=1563800149)'}}, {'y': 25000, 'verein': 'FC Crotone', 'age': '21', 'mw': '€25Th.', 'datum_mw': 'Jul 1, 2014', 'x': 1404165600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/4083.png?lm=1520933356)'}}, {'y': 25000, 'verein': 'San Marino', 'age': '21', 'mw': '€25Th.', 'datum_mw': 'Jan 21, 2015', 'x': 1421794800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10155_1563800149.png?lm=1563800149)'}}, {'y': 25000, 'verein': 'San Marino', 'age': '22', 'mw': '€25Th.', 'datum_mw': 'Jun 22, 2015', 'x': 1434924000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10155_1563800149.png?lm=1563800149)'}}, {'y': 25000, 'verein': 'San Marino', 'age': '23', 'mw': '€25Th.', 'datum_mw': 'Jun 30, 2016', 'x': 1467237600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10155_1563800149.png?lm=1563800149)'}}, {'y': 50000, 'verein': 'SS Pennarossa', 'age': '27', 'mw': '€50Th.', 'datum_mw': 'Jun 10, 2020', 'x': 1591740000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10612.png?lm=1539766486)'}}, {'y': 25000, 'verein': 'SS Pennarossa', 'age': '28', 'mw': '€25Th.', 'datum_mw': 'Jun 10, 2021', 'x': 1623276000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10612.png?lm=1539766486)'}}, {'y': 25000, 'verein': 'SS Pennarossa', 'age': '28', 'mw': '€25Th.', 'datum_mw': 'Jan 7, 2022', 'x': 1641510000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/10612.png?lm=1539766486)'}}]}]	-	-	178'		
Francesko Halilaj																														
Christian Tiboni																														
Francesco Ottaviani																														
Emiliano Dema																														
