Name	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Current club	Joined	Contract expires	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values	Name in home country	Player agent	Social-Media
José Cortaberría																													
Robi																													
Marcos Relaño																													
German Boga																													
Johan Abdoul																													
Julien Mégier																													
Marvin Assane																													
Maël Riberon																													
Alioun Fall																													
Enzo Kouadja																													
