Name	Date of birth	Place of birth	Age	Height	Citizenship	Position	Foot	Player agent	Current club	Joined	Contract expires	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Goals conceded	Clean sheets	Minutes played	Market Values	Name in home country	Social-Media	Own goals	Penalty goals	Minutes per goal	Date of last contract extension
Bjarki Björn Gunnarsson																																
Stígur Diljan Thórdarson																																
Sigurdur Steinar Björnsson																																
Thórdur Ingason																																
Ingvar Jónsson	Oct 18, 1989	Keflavík	32	1,86 m	Iceland	Goalkeeper	right	Olafur Gardarsson	Víkingur Reykjavík	Feb 22, 2020	Oct 16, 2022	0.0	28	18	2.39	-	-	1	-	2	-	-	14	7	1.664'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 25000, 'verein': 'Stjarnan Gardabaer', 'age': '21', 'mw': '€25Th.', 'datum_mw': 'Oct 15, 2011', 'x': 1318629600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21875.png?lm=1445330092)'}}, {'y': 75000, 'verein': 'Stjarnan Gardabaer', 'age': '23', 'mw': '€75Th.', 'datum_mw': 'Nov 16, 2012', 'x': 1353020400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21875.png?lm=1445330092)'}}, {'y': 100000, 'verein': 'Stjarnan Gardabaer', 'age': '25', 'mw': '€100Th.', 'datum_mw': 'Dec 30, 2014', 'x': 1419894000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/21875.png?lm=1445330092)'}}, {'y': 100000, 'verein': 'Sandnes Ulf', 'age': '26', 'mw': '€100Th.', 'datum_mw': 'Dec 27, 2015', 'x': 1451170800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/13025.png?lm=1480871738)'}}, {'y': 200000, 'verein': 'Sandefjord Fotball', 'age': '26', 'mw': '€200Th.', 'datum_mw': 'Jun 1, 2016', 'x': 1464732000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/6399.png?lm=1480871661)'}}, {'y': 200000, 'verein': 'Sandefjord Fotball', 'age': '27', 'mw': '€200Th.', 'datum_mw': 'Dec 18, 2016', 'x': 1482015600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/6399.png?lm=1480871661)'}}, {'y': 400000, 'verein': 'Sandefjord Fotball', 'age': '28', 'mw': '€400Th.', 'datum_mw': 'Dec 23, 2017', 'x': 1513983600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/6399.png?lm=1480871661)'}}, {'y': 350000, 'verein': 'Viborg FF', 'age': '29', 'mw': '€350Th.', 'datum_mw': 'Dec 21, 2018', 'x': 1545346800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1063.png?lm=1518117799)'}}, {'y': 300000, 'verein': 'Viborg FF', 'age': '29', 'mw': '€300Th.', 'datum_mw': 'Jun 24, 2019', 'x': 1561327200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1063.png?lm=1518117799)'}}, {'y': 250000, 'verein': 'Viborg FF', 'age': '29', 'mw': '€250Th.', 'datum_mw': 'Sep 9, 2019', 'x': 1567980000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1063.png?lm=1518117799)'}}, {'y': 150000, 'verein': 'Viborg FF', 'age': '30', 'mw': '€150Th.', 'datum_mw': 'Dec 22, 2019', 'x': 1576969200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1063.png?lm=1518117799)'}}, {'y': 100000, 'verein': 'Víkingur Reykjavík', 'age': '31', 'mw': '€100Th.', 'datum_mw': 'Dec 1, 2020', 'x': 1606777200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/5849.png?lm=1423493558)'}}, {'y': 50000, 'verein': 'Víkingur Reykjavík', 'age': '31', 'mw': '€50Th.', 'datum_mw': 'Aug 15, 2021', 'x': 1628978400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/5849.png?lm=1423493558)'}}, {'y': 50000, 'verein': 'Víkingur Reykjavík', 'age': '31', 'mw': '€50Th.', 'datum_mw': 'Oct 16, 2021', 'x': 1634335200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/5849.png?lm=1423493558)'}}]}]						
Uggi Jóhann Audunsson																																
Oliver Ekroth																																
Halldór Smári Sigurdsson																																
Kyle McLagan																																
Sölvi Ottesen	Feb 18, 1984	Reykjavík	38	1,90 m	Iceland	Defender - Centre-Back	right	MD Management	Víkingur Reykjavík	Feb 23, 2018	-	0.0	24	20	2.10	1	-	4	6	5	-	1			1.371'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 0, 'verein': 'Djurgårdens IF', 'age': '20', 'mw': '-', 'datum_mw': 'Oct 4, 2004', 'x': 1096840800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1044.png?lm=1584290320)'}}, {'y': 150000, 'verein': 'Djurgårdens IF', 'age': '21', 'mw': '€150Th.', 'datum_mw': 'Dec 2, 2005', 'x': 1133478000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1044.png?lm=1584290320)'}}, {'y': 350000, 'verein': 'Djurgårdens IF', 'age': '21', 'mw': '€350Th.', 'datum_mw': 'Feb 4, 2006', 'x': 1139007600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1044.png?lm=1584290320)'}}, {'y': 450000, 'verein': 'Djurgårdens IF', 'age': '22', 'mw': '€450Th.', 'datum_mw': 'Sep 29, 2006', 'x': 1159480800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/1044.png?lm=1584290320)'}}, {'y': 650000, 'verein': 'SönderjyskE', 'age': '24', 'mw': '€650Th.', 'datum_mw': 'Oct 9, 2008', 'x': 1223503200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/5817.png?lm=1518117723)'}}, {'y': 1000000, 'verein': 'SönderjyskE', 'age': '25', 'mw': '€1.00m', 'datum_mw': 'Jun 3, 2009', 'x': 1243980000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/5817.png?lm=1518117723)'}}, {'y': 1500000, 'verein': 'SönderjyskE', 'age': '25', 'mw': '€1.50m', 'datum_mw': 'Dec 8, 2009', 'x': 1260226800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/5817.png?lm=1518117723)'}}, {'y': 1500000, 'verein': 'SönderjyskE', 'age': '26', 'mw': '€1.50m', 'datum_mw': 'May 28, 2010', 'x': 1274997600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/5817.png?lm=1518117723)'}}, {'y': 1500000, 'verein': 'FC Copenhagen', 'age': '27', 'mw': '€1.50m', 'datum_mw': 'Jun 15, 2011', 'x': 1308088800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/190.png?lm=1518117389)'}}, {'y': 1500000, 'verein': 'FC Copenhagen', 'age': '28', 'mw': '€1.50m', 'datum_mw': 'Jul 18, 2012', 'x': 1342562400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/190.png?lm=1518117389)'}}, {'y': 1000000, 'verein': 'FC Copenhagen', 'age': '29', 'mw': '€1.00m', 'datum_mw': 'Jun 17, 2013', 'x': 1371420000000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/190.png?lm=1518117389)'}}, {'y': 800000, 'verein': 'Ural Yekaterinburg', 'age': '29', 'mw': '€800Th.', 'datum_mw': 'Sep 24, 2013', 'x': 1379973600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/11127.png?lm=1500926160)'}}, {'y': 800000, 'verein': 'Ural Yekaterinburg', 'age': '30', 'mw': '€800Th.', 'datum_mw': 'Mar 28, 2014', 'x': 1395961200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/11127.png?lm=1500926160)'}}, {'y': 800000, 'verein': 'Ural Yekaterinburg', 'age': '30', 'mw': '€800Th.', 'datum_mw': 'Jul 31, 2014', 'x': 1406757600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/11127.png?lm=1500926160)'}}, {'y': 650000, 'verein': 'Jiangsu Guoxin Sainty', 'age': '31', 'mw': '€650Th.', 'datum_mw': 'Feb 19, 2015', 'x': 1424300400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/22219_1450877852.png?lm=1450877852)'}}, {'y': 650000, 'verein': 'Jiangsu Guoxin Sainty', 'age': '31', 'mw': '€650Th.', 'datum_mw': 'Jun 5, 2015', 'x': 1433455200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/22219_1450877852.png?lm=1450877852)'}}, {'y': 650000, 'verein': 'Jiangsu Suning', 'age': '31', 'mw': '€650Th.', 'datum_mw': 'Nov 1, 2015', 'x': 1446332400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/22219_1487022150.png?lm=1487022150)'}}, {'y': 450000, 'verein': 'Wuhan Zall', 'age': '32', 'mw': '€450Th.', 'datum_mw': 'Feb 27, 2016', 'x': 1456527600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/6450.png?lm=1618561221)'}}, {'y': 350000, 'verein': 'Wuhan Zall', 'age': '32', 'mw': '€350Th.', 'datum_mw': 'Jun 20, 2016', 'x': 1466373600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/6450.png?lm=1618561221)'}}, {'y': 400000, 'verein': 'Wuhan Zall', 'age': '32', 'mw': '€400Th.', 'datum_mw': 'Nov 20, 2016', 'x': 1479596400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/6450.png?lm=1618561221)'}}, {'y': 400000, 'verein': 'Buriram United', 'age': '33', 'mw': '€400Th.', 'datum_mw': 'Feb 24, 2017', 'x': 1487890800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/25449.png?lm=1484418794)'}}, {'y': 500000, 'verein': 'Guangzhou R&F', 'age': '33', 'mw': '€500Th.', 'datum_mw': 'Dec 1, 2017', 'x': 1512082800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/18916_1648804033.png?lm=1648804033)'}}, {'y': 250000, 'verein': 'Víkingur Reykjavík', 'age': '34', 'mw': '€250Th.', 'datum_mw': 'Dec 15, 2018', 'x': 1544828400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/5849.png?lm=1423493558)'}}, {'y': 200000, 'verein': 'Víkingur Reykjavík', 'age': '35', 'mw': '€200Th.', 'datum_mw': 'Oct 16, 2019', 'x': 1571176800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/5849.png?lm=1423493558)'}}, {'y': 125000, 'verein': 'Víkingur Reykjavík', 'age': '36', 'mw': '€125Th.', 'datum_mw': 'Dec 1, 2020', 'x': 1606777200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/5849.png?lm=1423493558)'}}, {'y': 100000, 'verein': 'Víkingur Reykjavík', 'age': '37', 'mw': '€100Th.', 'datum_mw': 'Aug 15, 2021', 'x': 1628978400000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/5849.png?lm=1423493558)'}}, {'y': 100000, 'verein': 'Víkingur Reykjavík', 'age': '37', 'mw': '€100Th.', 'datum_mw': 'Oct 16, 2021', 'x': 1634335200000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/5849.png?lm=1423493558)'}}]}]	Sölvi Geir Ottesen Jónsson		-	-	1.371'	
